Game_Id,Title,Release,Developer,Country,Protagonist,Protagonist_Non_Male,Percentage_non_male
0,GTAV,Grand Theft Auto V,Sep-13,Rockstar North,GBR,3,0,18%
1,PSS,Pokémon Sword/Shield,Nov-19,Game Freak,JPN,1,1,56%
2,CODMW,Call of Duty: Modern Warfare,Oct-19,Infinity Ward,USA,3,1,17%
3,RDR2,Red Dead Redemption 2,Oct-18,Rockstar Studios,USA,1,0,29%
4,SMO,Super Mario Odyssey,Oct-17,Nintendo EDP,JPN,1,0,40%
5,BOTW,The Legend of Zelda: Breath of the Wild,Mar-17,Nintendo EDP,JPN,1,0,28%
6,PSM,Pokémon Sun/Moon,Oct-16,Game Freak,JPN,1,1,43%
7,TW3,The Witcher 3: Wild Hunt,May-15,CD Projeket Red,POL,1,0,32%
8,CODBO2,Call of Duty: Black Ops 2,Nov-12,Treyarch,USA,2,0,0%
9,BL2,Borderlands 2,Sep-12,Gearbox Software,USA,4,1,33%
10,TWD,The Walking Dead,Apr-12,Telltale Games,USA,1,0,39%
11,GOW,God of War,Apr-18,Santa Monica Studio,USA,1,0,14%
12,UC4,Uncharted 4: A Thief's End,May-16,Naughty Dog,USA,1,0,33%
13,INS,Inside,Jun-16,Paydead,DNK,1,0,0%
14,UT,Undertale,Sep-15,Toby Fox,USA,1,1,45%
15,BB,Bloodborne,Mar-15,FromSoftware,JPN,1,1,40%
16,SK,Shovel Knight: Shovel of Hope,Jun-14,Yacht Club Games,USA,1,0,17%
17,PP,"Papers, Please",Aug-13,3909 LLC,USA,1,0,33%
18,TLOU,The Last of Us,Jun-13,Naughty Dog,USA,1,0,33%
19,BSI,BioShock Infinite,Mar-13,Irrational Games,USA,1,0,57%
20,HLM,Hotline Miami,Oct-12,Dennaton Games,SWE,2,0,20%
21,JRN,Journey,Mar-12,Thatgamecompany,USA,1,1,100%
22,FC3,Far Cry 3,Nov-19,Ubisoft Montreal,CAN,1,0,21%
23,PSN5,Persona 5,Sep-16,P-Studio,JPN,1,0,44%
24,TN,Tunic,Mar-22,Andrew Shouldice,CAN,1,1,100%
25,ER,Elden Ring,Feb-22,FromSoftware,JPN,1,1,47%
26,TSPUD,The Stanley Parable (Ultra Deluxe),Apr-22,Galactic Cafe,GBR,1,0,0%
27,NW,Neon White,Jun-22,Angel Matrix,USA,1,0,44%
28,CH,Cuphead,Sep-17,Studio MDHR,CAN,2,0,14%
29,DL,Deathloop,Sep-21,Arkane Lyon,FRA,1,0,44%
30,NRA,NieR: Automata,Feb-17,PlatinumGames,JPN,1,1,62%
31,IWATE,I Was a Teenage Exocolonist,Aug-22,Northway Gates,CAN,1,1,52%
32,IMM,Immortality,Aug-22,Sam Barlow,GBR,2,2,57%
33,DEL,Disco Elysium,Oct-19,ZA/UM,GBR,1,0,33%
34,HA,Hades,Dec-19,Supergiant Games,USA,1,0,44%
35,CACW,Chicory: A Colorful World,Jun-21,Finji,USA,1,1,100%
36,ITT,It Takes Two,Mar-21,Hazelight Studios,SWE,2,1,50%
37,TLOU2,The Last of Us Part II,Jun-20,Naughty Dog,USA,2,2,45%
38,HLA,Half-Life:Alyx,Mar-20,Valve,USA,1,1,20%
39,OAWW,Ori and the Will of the Wisps,Mar-20,Moon Studios,AUT,1,1,63%
40,DQXI,Dragon Quest XI,Jul-17,Square Enix,JPN,1,0,31%
41,YK0,Yakuza 0,Mar-15,Ryu Ga Gotoku Studio,JPN,2,0,12%
42,TINGWD,There is No Game: Wrong Dimension,Aug-20,Draw Me A Pixel,FRA,1,1,40%
43,DOS2,Divinity:Original Sin II,Sep-17,Larian Studios,BEL,1,1,36%
44,SSDT,Sekiro: Shadows Die Twice,Mar-19,FromSoftware,JPN,1,0,13%
45,OABF,Ori and the Blind Forest,Mar-15,Moon Studios,AUT,1,1,80%
46,DMC5,Devil May Cry 5,Mar-19,Capcom,JPN,2,0,38%
47,FE3H,Fire Emblem: Three Houses,Jul-19,Intelligent Systems Koei Tecmo,JPN,1,1,45%
48,WROEF,What Remains of Edith Finch,Apr-17,Giant Sparrow,USA,1,1,35%
49,CLS,Celeste,Jan-18,Maddy Makes Games,CAN,1,1,67%
50,DC,Dead Cells,Aug-18,Motion Twin,FRA,1,1,40%
51,HLKN,Hollow Knight,Feb-17,Team Cherry,AUS,1,1,50%
52,NITW,Night in the Woods,Feb-17,Secret Lab,AUT,1,1,67%
53,BY2,Bayonetta 2,Sep-14,PlatinumGames,JPN,1,1,27%
54,BRA,Broken Age,Jan-14,Double Fine Productions,USA,2,1,44%
55,MGSV,Metal Gear Solid V: The Phantom Pain,Sep-15,Kojima Productions,JPN,1,0,20%
56,TSWP,The Swapper,May-13,Facepalm Games,FIN,1,1,67%
57,OWB,Owlboy,Nov-16,D-Pad Studio,NOR,1,0,0%
58,DS2,Dark Souls 2,Mar-14,FromSoftware,JPN,1,1,60%
59,TBOIR,The Binding of Isaac: Rebirth,Nov-14,Nicalis,USA,1,0,36%
60,COL,Child of Light,Apr-14,Ubisoft Montreal,CAN,1,1,54%
61,FLR,Florence,Feb-18,Mountains,USA,1,1,50%
62,MSMMM,Marvel's Spider-Man: Miles Morales,Nov-20,Insomniac Games,USA,1,0,42%
63,KBOS,Kena: Bridge of Spirits,Sep-21,Ember Lab,USA,1,1,50%
