Name,Gender,Game,Age,Age_range,Playable,Sexualization,Id,Species,Side,Relevance,Romantic_Interest
Farah,Female,CODMW,27,Adult,1,0,CODMW_Farah,Human,P,PA,No
Protagonist,Custom,PSS,Teenager,Teenager,1,0,PSS_Protagonist,Human,P,PA,No
Magnolia,Female,PSS,Elderly,Elderly,0,0,PSS_Magnolia,Human,P,SC,No
Sonia,Female,PSS,26,Adult,0,0,PSS_Sonia,Human,P,SC,No
Marnie,Female,PSS,Teenager,Teenager,0,0,PSS_Marnie,Human,B,MC,No
Oleana ,Female,PSS,Adult,Adult,0,0,PSS_Oleana,Human,A,SC,No
Peach,Female,SMO,Adult,Adult,0,2,SMO_Peach,Human,P,MC,Yes
Zelda,Female,BOTW,17,Teenager,0,0,BOTW_Zelda,Human,P,DA,No
Protagonist,Custom,PSM,11,Child,1,0,PSM_Protagonist,Human,P,PA,No
Ciri,Female,TW3,21,Young adult,0,2,TW3_Ciri,Human,P,DA,No
Clementine,Female,TWD,8,Child,0,0,TWD_Clementine,Human,P,DA,No
Frisk,Non-binary,UT,Teenager,Teenager,1,0,UT_Frisk,Human,P,PA,No
Hunter,Custom,BB,Adult,Adult,1,0,BB_Hunter,Human,P,PA,No
Shield Knight,Female,SK,Adult,Adult,0,1,SK_Shield,Human,P,MC,Yes
Ellie,Female,TLOU,14,Child,0,0,TLOU_Ellie,Human,P,DA,No
Elizabeth,Female,BSI,19,Young adult,0,0,BSI_Elizabeth,Human,P,DA,No
Traveler,Non-binary,JRN,Unknown,Unknown,1,1,JRN_Traveler,Humanoid,P,PA,No
Amanda,Female,GTAV,43,Middle-aged,0,3,GTAV_Amanda,Human,B,SC,Yes
Tracy,Female,GTAV,22,Young adult,0,3,GTAV_Tracy,Human,B,SC,No
Abigail Roberts,Female,RDR2,22,Young adult,0,0,RDR2_Abigail,Human,P,MC,No
Karen Jons,Female,RDR2,25,Adult,0,0,RDR2_Karen,Human,P,SC,No
Mary-Beth Gaskill,Female,RDR2,22,Young adult,0,0,RDR2_Mary-Beth,Human,P,SC,No
Molly O'Shea,Female,RDR2,Young adult,Young adult,0,0,RDR2_Molly,Human,P,SC,No
Sadie Adler,Female,RDR2,Adult,Adult,0,0,RDR2_Sadie,Human,P,SC,No
Susan Grimshaw,Female,RDR2,54,Middle-aged,0,0,RDR2_Susan,Human,P,SC,No
Tilly Jackson,Female,RDR2,Young adult,Young adult,0,0,RDR2_Tilly,Human,P,SC,No
Tiara,Female,SMO,Unknown,Unknown,0,2,SMO_Tiara,Animated Object,P,SC,No
Mipha,Female,BOTW,Young adult,Young adult,0,0,BOTW_Mipha,Humanoid,P,MC,No
